AI算法与图像处理,43,3,2247522254_1,图解机器学习神器：Scikit-Learn,图解机器学习 scikit-learn 工具库！,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522254&idx=1&sn=7a02d99b3bf440686888d46f4979789c&chksm=fd84112ccaf3983aca1a706e030d79003cdfb04a423787add206a9ad034db926760096997c21#rd,1662713229,1662714060
AI算法与图像处理,44,3,2247522254_2,不要相信模型输出的概率打分......,大家在训练深度学习模型的时候，有没有遇到这样的场景：分类任务的准确率比较高，但是模型输出的预测概率和实际预测,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522254&idx=2&sn=5380a75ec439827ce6d3f86970e540ac&chksm=fd84112ccaf3983ada58908271e40c4f6c41ef0402ee9eaec8db3032ec5b5f4540ba51ecf766#rd,1662713229,1662714060
AI算法与图像处理,45,3,2247522254_3,论文速递2022.9.9！,整理：AI算法与图像处理，分享请注明出处CVPR2022论文和代码整理：https://github.com,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522254&idx=3&sn=39a1664e15d49bef5282989c0bb86906&chksm=fd84112ccaf3983a271c4b503011a311781c0e7f92ec1935251f44bb46d3a3cce4a2548743c8#rd,1662713229,1662714060
AI算法与图像处理,46,3,2247522250_1,这可能是中国最穷的211大学！连研究生奖学金都发不起了....,学校：实在补不起了...,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522250&idx=1&sn=e633008b0c287aa58f78d74835ae9201&chksm=fd841128caf3983e7201cc56d3f61fc052baaa10fc23e6840a69803aa41c764fad81fc43f051#rd,1662629259,1662629259
AI算法与图像处理,47,3,2247522250_2,Vision Transformers看到的东西是和卷积神经网络一样的吗？,这是对论文《Do Vision Transformers See Like Convolutional Neural Networks》的一篇解读。,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522250&idx=2&sn=5a2c8f38b79ab537888dab514a153f79&chksm=fd841128caf3983e1c36ad7d1aae8b4bfb85800acfeefc34181ea48d57b76a8be3f4cb8a8118#rd,1662629259,1662629259
AI算法与图像处理,48,3,2247522250_3,交通灯数据集，涵盖城市和郊区! 论文速递2022.9.8！,整理：AI算法与图像处理，分享请注明出处CVPR2022论文和代码整理：https://github.com,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522250&idx=3&sn=a277464a8a575137dfe6e1807fa6e9b6&chksm=fd841128caf3983e68c7de2cd92ec1a4a1088a7ceb1f4f62a7422458a6a4b94989ab7f917213#rd,1662629259,1662629259
AI算法与图像处理,49,3,2247522112_1,OpenMMLAB系列框架解读(基于PyTorch),,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522112&idx=1&sn=519f679529086511291d4aa993d4a38c&chksm=fd8411a2caf398b4ee8265517b95a397aa4ba0608490018669c9997d1e818645b724b32bdcfb#rd,1662538199,1662541200
AI算法与图像处理,50,3,2247522112_2,8 月份 Github 上最火的10篇 AI 论文！,文 | 天于刀刀不晓得各位同学在看论文的时候最关注的是什么？也许是论文的创新点，或是被引用的数量，还是...,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522112&idx=2&sn=3987d1539d7aa42a7f833167eb948e11&chksm=fd8411a2caf398b4f4c407b65428344d48e330bad3c29995ce6426692befc1476908df020fa7#rd,1662538199,1662541200
AI算法与图像处理,51,3,2247522112_3,不要再写Python for循环了！,分享~,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522112&idx=3&sn=160ed440abfc5b52770fe078fb5ce9c6&chksm=fd8411a2caf398b4e46d0453a5d3cacc6f51f5a2626aca90b826880505562047f425e82bb741#rd,1662538199,1662541200
AI算法与图像处理,52,3,2247522112_4,ECCV2022 | SimpleRecon 无需 3D 卷积的高质量三维重建方案! 论文速递2022.9.7！,整理：AI算法与图像处理，分享请注明出处CVPR2022论文和代码整理：https://github.com,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522112&idx=4&sn=dcc3a0259bef9e22dd68e0026eee5356&chksm=fd8411a2caf398b461aa58a4457099fc7f2be7ced682e48cb598c96e3c5f5cecf2adb432f304#rd,1662538199,1662541200
AI算法与图像处理,53,3,2247522092_1,一些经典推荐算法和模型使用问题解答,我们在学习推荐系统的时候，最好是理论结合项目一起来做，项目能直接检验学习的理论知识。本文将从推荐系统理论知识,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522092&idx=1&sn=cf192e6a4e9093c8ebf472d23579124e&chksm=fd8411cecaf398d88629cc8ea6372019f941d829b075639da99281c5ac36f219a5408ede5762#rd,1662450759,1662454800
AI算法与图像处理,54,3,2247522092_2,最新最全100篇汇总！生成扩散模型Diffusion Models,001  (2022-09-2) First Hitting Diffusion Models     ht,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522092&idx=2&sn=5e3facf33ef1053299e0a178b22fd2f5&chksm=fd8411cecaf398d8d8afc7ab86c7fc9d54ea2c54c21c7b533e19aae41381bc2d6e67dc0efc58#rd,1662450759,1662454800
AI算法与图像处理,55,3,2247522092_3,PSRR-MaxpoolNMS：和GreedyNMS效果相当，速度快6倍。,导读可以用在所有类型的物体检测器中，用来替代NMS，速度快，准确率高。PSRR-MaxpoolNMS: Py,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522092&idx=3&sn=f455c0e29fb958ecd3ef74a81bbf6c8a&chksm=fd8411cecaf398d81d8065e4f2d5049207a85a5ce7986bd36ab39eb1263f8bd787d2bf3238aa#rd,1662450759,1662454800
AI算法与图像处理,56,3,2247522089_1,看完沐神的装机清单，我酸了。。,,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522089&idx=1&sn=b9a5b065488221052ea22ca0ccfc0593&chksm=fd8411cbcaf398dddde7bb1425aa90ffbffd615d3cd37cc5ea779af3cd678a6f7d85413a5f7e#rd,1662367103,1662368400
AI算法与图像处理,57,3,2247522089_2,工业现场相机坐标系和机械手坐标系的标定,,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522089&idx=2&sn=534a62b234e202ba3815411bda1a2a7d&chksm=fd8411cbcaf398ddaee5ee448e5ef61986600b1e8f5659c8050f7677e54bdbbd9f6622a1079a#rd,1662367103,1662368400
AI算法与图像处理,58,3,2247522089_3,X-NeRF！一种基于神经辐射场公式的学习交叉光谱场景表示的新方法! 论文速递2022.9.5！,整理：AI算法与图像处理，分享请注明出处CVPR2022论文和代码整理：https://github.com,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522089&idx=3&sn=1e3c8f93739fab355c83b501ef53153c&chksm=fd8411cbcaf398ddf37b457428139e2f89c13601fd1e9d609ef7f8043ecd53f7ef44e23e6ca6#rd,1662367103,1662368400
AI算法与图像处理,59,4,2247522084_1,为让学生顺利毕业，导师研究出著名的研究生20条法则：第一，不要有任何度假休息的打算……,,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522084&idx=1&sn=a02fa3edaa34297b776af090e85680f6&chksm=fd8411c6caf398d0b350b43c425b84b38d7feb9ecb098ba43fc4895d55fea8623e21671d635f#rd,1662302746,1662302746
AI算法与图像处理,60,4,2247522084_2,[ACM MM 2022] SPTS: Single-Point Text Spotting（已开源）,本文简要介绍ACM MM 2022录用论文“SPTS: Single-Point Text Spotting,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522084&idx=2&sn=204c8c216fe2c11360446a14062c917f&chksm=fd8411c6caf398d06b0af80c62b2d595ef2f2784f80753e9d09a0e96722cd808e3e742d07cca#rd,1662302746,1662302746
AI算法与图像处理,61,4,2247522081_1,不可思议！DALL·E实现虚拟视频换装，网友：买衣服的钱省了,边走边换装，DALL·E为视频人物生成虚拟衣服,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522081&idx=1&sn=26264af0113fe53c626d7e688e82c760&chksm=fd8411c3caf398d50809dc32ec939f5a33d0be8ac51b41cacd08e91724b460d995123bc14074#rd,1662212697,1662212697
AI算法与图像处理,62,4,2247522081_2,ECCV 2022 | k-means Mask Transformer,前言 目前，大多数现有的基于transformer的视觉模型只是借用了自然语言处理的思想，忽略了语言和图像之,http://mp.weixin.qq.com/s?__biz=MzU4NTY4Mzg1Mw==&mid=2247522081&idx=2&sn=12e8618567cebedc37638f8fe225305e&chksm=fd8411c3caf398d5047b9cba260fcade3ec9d8fba466abb7283d743db5acab935702000c16da#rd,1662212697,1662212697
